abstract,arxiv,authors,citations,citations_primary,citations_source,doi,group,match_score,n_authors,oa,oa_citations,oa_records,oa_records_citation_sum,openalex,pdf,referenced_works,resolved,s2_citations,s2_influential,s2_types,s2_url,s2_venue,s2_year,section,seed_title,short,supervision,task,title,url,venue,venue_type,year,zs_claim
"We present a scalable approach for learning open-world object-goal navigation (ObjectNav) -- the task of asking a virtual robot (agent) to find any instance of an object in an unexplored environment (e.g.,""find a sink""). Our approach is entirely zero-shot -- i.e., it does not require ObjectNav rewards or demonstrations of any kind. Instead, we train on the image-goal navigation (ImageNav) task, in which agents find the location where a picture (i.e., goal image) was captured. Specifically, we encode goal images into a multimodal, semantic embedding space to enable training semantic-goal navigation (SemanticNav) agents at scale in unannotated 3D environments (e.g., HM3D). After training, Sema",2206.12403,Arjun Majumdar; Gunjan Aggarwal; Bhavika Devnani et al.,41,334,Semantic Scholar,10.48550/arxiv.2206.12403,B,1.0,5,True,41,2,65,https://openalex.org/W4283640928,https://arxiv.org/pdf/2206.12403,0,True,334,35,JournalArticle,https://www.semanticscholar.org/paper/4f0f2096e006725576f1ccf0edda7c234d38fa66,Neural Information Processing Systems,2022,9.1,ZSON: Zero-Shot Object-Goal Navigation using Multimodal Goal Embeddings,ZSON,zero-shot,ObjectNav,ZSON: Zero-Shot Object-Goal Navigation using Multimodal Goal Embeddings,http://arxiv.org/abs/2206.12403,arXiv (Cornell University),preprint,2022,"ZS-2,ZS-3"
"The ability to accurately locate and navigate to a specific object is a crucial capability for embodied agents that operate in the real world and interact with objects to complete tasks. Such object navigation tasks usually require large-scale training in visual environments with labeled objects, which generalizes poorly to novel objects in unknown environments. In this work, we present a novel zero-shot object navigation method, Exploration with Soft Commonsense constraints (ESC), that transfers commonsense knowledge in pre-trained models to open-world object navigation without any navigation experience nor any other training on the visual environments. First, ESC leverages a pre-trained vi",2301.13166,Kaiwen Zhou; Kaizhi Zheng; Connor Pryor et al.,23,268,Semantic Scholar,10.48550/arxiv.2301.13166,B,1.0,7,True,23,1,23,https://openalex.org/W4318719538,https://arxiv.org/pdf/2301.13166,0,True,268,40,"JournalArticle,Conference",https://www.semanticscholar.org/paper/6710e66648fe6846397ccecf72478effb44d7bc1,International Conference on Machine Learning,2023,9.4,ESC: Exploration with Soft Commonsense Constraints for Zero-shot Object Navigation,ESC,zero-shot,ObjectNav,ESC: Exploration with Soft Commonsense Constraints for Zero-shot Object Navigation,http://arxiv.org/abs/2301.13166,arXiv (Cornell University),preprint,2023,"ZS-1,ZS-2"
"Visual target navigation in unknown environments is a crucial problem in robotics. Despite extensive investigation of classical and learning-based approaches in the past, robots lack common-sense knowledge about household objects and layouts. Prior state-of-the-art approaches to this task rely on learning the priors during the training and typically require significant expensive resources and time for learning. To address this, we propose a new framework for visual target navigation that leverages Large Language Models (LLM) to impart common sense for object searching. Specifically, we introduce two paradigms: (i) zero-shot and (ii) feed-forward approaches that use language to find the relev",2304.05501,Bangguo Yu; Hamidreza Kasaei; Ming Cao,100,265,Semantic Scholar,10.1109/iros55552.2023.10342512,B,1.0,3,True,100,2,103,https://openalex.org/W4389666115,,40,True,265,35,"JournalArticle,Conference",https://www.semanticscholar.org/paper/6ff07b09cd44431603aeb1aab515a9f1355a63ed,IEEE/RJS International Conference on Intelligent RObots and Systems,2023,9.4,L3MVN: Leveraging Large Language Models for Visual Target Navigation,L3MVN,zero-shot,ObjectNav,L3MVN: Leveraging Large Language Models for Visual Target Navigation,https://doi.org/10.1109/iros55552.2023.10342512,IEEE/RJS International Conference on Intelligent RObots and Systems,conference-paper,2023,"ZS-1,ZS-2"
"Understanding how humans leverage semantic knowledge to navigate unfamiliar environments and decide where to explore next is pivotal for developing robots capable of human-like search behaviors. We introduce a zero-shot navigation approach, Vision-Language Frontier Maps (VLFM), which is inspired by human reasoning and designed to navigate towards unseen semantic objects in novel environments. VLFM builds occupancy maps from depth observations to identify frontiers, and leverages RGB observations and a pre-trained vision-language model to generate a language-grounded value map. VLFM then uses this map to identify the most promising frontier to explore for finding an instance of a given target",2312.03275,Naoki Yokoyama; Sehoon Ha; Dhruv Batra et al.,125,393,Semantic Scholar,10.1109/icra57147.2024.10610712,B,1.0,5,False,125,2,127,https://openalex.org/W4401417061,,49,True,393,77,"JournalArticle,Conference",https://www.semanticscholar.org/paper/996fd7229e4aba2c9c33a6f2861e8020b8a2702e,IEEE International Conference on Robotics and Automation,2023,9.4,VLFM: Vision-Language Frontier Maps for Zero-Shot Semantic Navigation,VLFM,zero-shot,ObjectNav,VLFM: Vision-Language Frontier Maps for Zero-Shot Semantic Navigation,https://doi.org/10.1109/icra57147.2024.10610712,IEEE International Conference on Robotics and Automation,conference-paper,2024,"ZS-1,ZS-2"
"Object navigation (ObjectNav) requires an agent to navigate through unseen environments to find queried objects. Many previous methods attempted to solve this task by relying on supervised or reinforcement learning, where they are trained on limited household datasets with close-set objects. However, two key challenges are unsolved: understanding free-form natural language instructions that demand open-set objects, and generalizing to new environments in a zero-shot manner. Aiming to solve the two challenges, in this paper, we propose OpenFMNav, an Open-set Foundation Model based framework for zero-shot object Navigation. We first unleash the reasoning abilities of large language models (LLM",2402.10670,Yuxuan Kuang; Hai Lin; Meng Jiang,34,122,Semantic Scholar,10.18653/v1/2024.findings-naacl.24,B,1.0,3,True,34,2,34,https://openalex.org/W4401042437,,0,True,122,14,JournalArticle,https://www.semanticscholar.org/paper/e3ca1f399ed5ee21d0b73422f8837fba0985665f,NAACL-HLT,2024,9.3,OpenFMNav: Towards Open-Set Zero-Shot Object Navigation via Vision-Language Foundation Models,OpenFMNav,zero-shot,ObjectNav,OpenFMNav: Towards Open-Set Zero-Shot Object Navigation via Vision-Language Foundation Models,https://doi.org/10.18653/v1/2024.findings-naacl.24,NAACL-HLT,conference-paper,2024,"ZS-1,ZS-2"
"In this paper, we propose a new framework for zero-shot object navigation. Existing zero-shot object navigation methods prompt LLM with the text of spatially closed objects, which lacks enough scene context for in-depth reasoning. To better preserve the information of environment and fully exploit the reasoning ability of LLM, we propose to represent the observed scene with 3D scene graph. The scene graph encodes the relationships between objects, groups and rooms with a LLM-friendly structure, for which we design a hierarchical chain-of-thought prompt to help LLM reason the goal location according to scene context by traversing the nodes and edges. Moreover, benefit from the scene graph rep",2410.08189,Hang Yin; Xiuwei Xu; Zhenyu Wu et al.,24,196,Semantic Scholar,10.52202/079017-0171,B,1.0,5,False,24,2,28,https://openalex.org/W4415798988,,0,True,196,26,JournalArticle,https://www.semanticscholar.org/paper/a497b668dce81d6850af1371fdaf6a4a03eafb06,Neural Information Processing Systems,2024,9.3,SG-Nav: Online 3D Scene Graph Prompting for LLM-based Zero-shot Object Navigation,SG-Nav,zero-shot,ObjectNav,SG-Nav: Online 3D Scene Graph Prompting for LLM-based Zero-shot Object Navigation,https://doi.org/10.52202/079017-0171,Neural Information Processing Systems,conference-paper,2024,"ZS-1,ZS-2"
"In the realm of household robotics, the Zero-Shot Object Navigation (ZSON) task empowers agents to adeptly traverse unfamiliar environments and locate objects from novel categories without prior explicit training. This paper introduces VoroNav, a novel semantic exploration framework that proposes the Reduced Voronoi Graph to extract exploratory paths and planning nodes from a semantic map constructed in real time. By harnessing topological and semantic information, VoroNav designs text-based descriptions of paths and images that are readily interpretable by a large language model (LLM). In particular, our approach presents a synergy of path and farsight descriptions to represent the environm",2401.02695,Pengying Wu; Yao Mu; Beichen Wu et al.,8,106,Semantic Scholar,10.48550/arxiv.2401.02695,B,1.0,7,True,8,1,8,https://openalex.org/W4390690152,https://arxiv.org/pdf/2401.02695,0,True,106,12,"JournalArticle,Conference",https://www.semanticscholar.org/paper/2653cf21108048bdc9300e7c8daf27461b91f98c,International Conference on Machine Learning,2024,9.4,VoroNav: Voronoi-based Zero-shot Object Navigation with Large Language Model,VoroNav,zero-shot,ObjectNav,VoroNav: Voronoi-based Zero-shot Object Navigation with Large Language Model,http://arxiv.org/abs/2401.02695,arXiv (Cornell University),preprint,2024,"ZS-1,ZS-2"
"Grounding language to the visual observations of a navigating agent can be performed using off-the-shelf visual-language models pretrained on Internet-scale data (e.g., image captions). While this is useful for matching images to natural language descriptions of object goals, it remains disjoint from the process of mapping the environment, so that it lacks the spatial precision of classic geometric maps. To address this problem, we propose VLMaps, a spatial map representation that directly fuses pretrained visual-language features with a 3D reconstruction of the physical world. VLMaps can be autonomously built from video feed on robots using standard exploration approaches and enables natura",2210.05714,Chenguang Huang; Oier Mees; Andy Zeng et al.,332,649,Semantic Scholar,10.1109/icra48891.2023.10160969,C,1.0,4,False,332,4,348,https://openalex.org/W4383108296,,69,True,649,54,"JournalArticle,Conference",https://www.semanticscholar.org/paper/c305ab1bdba79442bec72ec7f5c5ee7c49c2a566,IEEE International Conference on Robotics and Automation,2022,6.5,Visual Language Maps for Robot Navigation,VLMaps,zero-shot,spatial goals,Visual Language Maps for Robot Navigation,https://doi.org/10.1109/icra48891.2023.10160969,IEEE International Conference on Robotics and Automation,conference-paper,2023,ZS-2
"Large language models (LLMs) have unlocked new capabilities of task planning from human instructions. However, prior attempts to apply LLMs to real-world robotic tasks are limited by the lack of grounding in the surrounding scene. In this paper, we develop NLMap, an open-vocabulary and queryable scene representation to address this problem. NLMap serves as a framework to gather and integrate contextual information into LLM planners, allowing them to see and query available objects in the scene before generating a context-conditioned plan. NLMap first establishes a natural language queryable scene representation with Visual Language models (VLMs). An LLM based object proposal module parses in",2209.09874,Boyuan Chen; Fei Xia; Brian Ichter et al.,135,260,Semantic Scholar,10.1109/icra48891.2023.10161534,C,1.0,8,False,135,2,143,https://openalex.org/W4383108895,,50,True,260,13,"JournalArticle,Conference",https://www.semanticscholar.org/paper/e00867c7108395d56b823bc5c75d2f4591e2878d,IEEE International Conference on Robotics and Automation,2022,6.5,Open-vocabulary Queryable Scene Representations for Real World Planning,NLMap,zero-shot,planning,Open-vocabulary Queryable Scene Representations for Real World Planning,https://doi.org/10.1109/icra48891.2023.10161534,IEEE International Conference on Robotics and Automation,conference-paper,2023,ZS-2
"Building 3D maps of the environment is central to robot navigation, planning, and interaction with objects in a scene. Most existing approaches that integrate semantic concepts with 3D maps largely remain confined to the closed-set setting: they can only reason about a finite set of concepts, pre-defined at training time. Further, these maps can only be queried using class labels, or in recent work, using text prompts. We address both these issues with ConceptFusion, a scene representation that is (1) fundamentally open-set, enabling reasoning beyond a closed set of concepts and (ii) inherently multimodal, enabling a diverse range of possible queries to the 3D map, from language, to images, ",2302.07241,Krishna Murthy Jatavallabhula; Alihusein Kuwajerwala; Qiao Gu et al.,204,424,Semantic Scholar,10.15607/rss.2023.xix.066,C,1.0,17,True,204,2,208,https://openalex.org/W4385431115,https://doi.org/10.15607/rss.2023.xix.066,100,True,424,40,JournalArticle,https://www.semanticscholar.org/paper/5e2bceb56f116e98baf7e418208057bc0e1c1861,Robotics: Science and Systems Conference,2023,6.5,ConceptFusion: Open-set Multimodal 3D Mapping,ConceptFusion,zero-shot,mapping,ConceptFusion: Open-set multimodal 3D mapping,https://doi.org/10.15607/rss.2023.xix.066,Robotics: Science and Systems Conference,conference-paper,2023,ZS-2
"For robots to perform a wide variety of tasks, they require a 3D representation of the world that is semantically rich, yet compact and efficient for task-driven perception and planning. Recent approaches have attempted to leverage features from large vision-language models to encode semantics in 3D representations. However, these approaches tend to produce maps with per-point feature vectors, which do not scale well in larger environments, nor do they contain semantic spatial relationships between entities in the environment, which are useful for downstream planning. In this work, we propose ConceptGraphs, an open-vocabulary graph-structured representation for 3D scenes. ConceptGraphs is bu",2309.16650,Qiao Gu; Ali Kuwajerwala; Sacha Morin et al.,215,560,Semantic Scholar,10.1109/icra57147.2024.10610243,C,1.0,16,False,215,2,227,https://openalex.org/W4401414715,,75,True,560,94,"JournalArticle,Conference",https://www.semanticscholar.org/paper/174a3290ff0040e0f6a7a0b43bcd752c456350a0,IEEE International Conference on Robotics and Automation,2023,6.5,ConceptGraphs: Open-Vocabulary 3D Scene Graphs for Perception and Planning,ConceptGraphs,zero-shot,mapping,ConceptGraphs: Open-Vocabulary 3D Scene Graphs for Perception and Planning,https://doi.org/10.1109/icra57147.2024.10610243,IEEE International Conference on Robotics and Automation,conference-paper,2024,ZS-2
"Recent open-vocabulary robot mapping methods enrich dense geometric maps with pre-trained visual-language features. While these maps allow for the prediction of point-wise saliency maps when queried for a certain language concept, large-scale environments and abstract queries beyond the object level still pose a considerable hurdle, ultimately limiting language-grounded robotic navigation. In this work, we present HOV-SG, a hierarchical open-vocabulary 3D scene graph mapping approach for language-grounded robot navigation. Leveraging open-vocabulary vision foundation models, we first obtain state-of-the-art open-vocabulary segment-level maps in 3D and subsequently construct a 3D scene graph ",2403.17846,Abdelrhman Werby; Chenguang Huang; Martin Büchner et al.,102,309,Semantic Scholar,10.15607/rss.2024.xx.077,C,1.0,5,False,102,2,103,https://openalex.org/W4402354022,,0,True,309,45,JournalArticle,https://www.semanticscholar.org/paper/fe2a745db1cc37dfb9f8dbe9106e702a75766379,Robotics: Science and Systems Conference,2024,6.5,Hierarchical Open-Vocabulary 3D Scene Graphs for Language-Grounded Robot Navigation,HOV-SG,zero-shot,language nav,Hierarchical Open-Vocabulary 3D Scene Graphs for Language-Grounded Robot Navigation,https://doi.org/10.15607/rss.2024.xx.077,Robotics: Science and Systems Conference,conference-paper,2024,ZS-2
"Goal-conditioned policies for robotic navigation can be trained on large, unannotated datasets, providing for good generalization to real-world settings. However, particularly in vision-based settings where specifying goals requires an image, this makes for an unnatural interface. Language provides a more convenient modality for communication with robots, but contemporary methods typically require expensive supervision, in the form of trajectories annotated with language descriptions. We present a system, LM-Nav, for robotic navigation that enjoys the benefits of training on unannotated large datasets of trajectories, while still providing a high-level interface to the user. Instead of utili",2207.04429,Dhruv Shah; Błażej Osiński; Brian Ichter et al.,81,771,Semantic Scholar,10.48550/arxiv.2207.04429,D,1.0,4,True,81,1,81,https://openalex.org/W4285069854,https://arxiv.org/pdf/2207.04429,0,True,771,28,JournalArticle,https://www.semanticscholar.org/paper/cdf54c147434c83a4a380916b6c1279b0ca19fc2,Conference on Robot Learning,2022,9.6,"LM-Nav: Robotic Navigation with Large Pre-Trained Models of Language, Vision, and Action",LM-Nav,zero-shot,outdoor,"LM-Nav: Robotic Navigation with Large Pre-Trained Models of Language, Vision, and Action",http://arxiv.org/abs/2207.04429,arXiv (Cornell University),preprint,2022,"ZS-1,ZS-5"
"Large language models can encode a wealth of semantic knowledge about the world. Such knowledge could be extremely useful to robots aiming to act upon high-level, temporally extended instructions expressed in natural language. However, a significant weakness of language models is that they lack real-world experience, which makes it difficult to leverage them for decision making within a given embodiment. For example, asking a language model to describe how to clean a spill might result in a reasonable narrative, but it may not be applicable to a particular agent, such as a robot, that needs to perform this task in a particular environment. We propose to provide real-world grounding by means ",2204.01691,"Ahn, Michael; Anthony Brohan; Noah Brown et al.",521,3608,Semantic Scholar,10.48550/arxiv.2204.01691,D,1.0,45,True,521,1,521,https://openalex.org/W4224912544,https://arxiv.org/pdf/2204.01691,0,True,3608,213,JournalArticle,https://www.semanticscholar.org/paper/cb5e3f085caefd1f3d5e08637ab55d39e61234fc,Conference on Robot Learning,2022,9.6,"Do As I Can, Not As I Say: Grounding Language in Robotic Affordances",SayCan,zero-shot,manipulation,"Do As I Can, Not As I Say: Grounding Language in Robotic Affordances",http://arxiv.org/abs/2204.01691,arXiv (Cornell University),preprint,2022,ZS-1
"Large language models (LLMs) trained on code-completion have been shown to be capable of synthesizing simple Python programs from docstrings [1]. We find that these code-writing LLMs can be re-purposed to write robot policy code, given natural language commands. Specifically, policy code can express functions or feedback loops that process perception outputs (e.g., from object detectors [2], [3]) and parameterize control primitive APIs. When provided as input several example language commands (formatted as comments) followed by corresponding policy code (via few-shot prompting), LLMs can take in new commands and autonomously re-compose API calls to generate new policy code respectively. By c",2209.07753,Jacky Liang; Wenlong Huang; Fei Xia et al.,660,1816,Semantic Scholar,10.1109/icra48891.2023.10160591,D,1.0,8,False,660,2,698,https://openalex.org/W4383097638,,77,True,1816,111,"JournalArticle,Conference",https://www.semanticscholar.org/paper/91deaf9d324c8feafc189da0da03e60a60287bca,IEEE International Conference on Robotics and Automation,2022,9.6,Code as Policies: Language Model Programs for Embodied Control,Code as Policies,zero-shot,control,Code as Policies: Language Model Programs for Embodied Control,https://doi.org/10.1109/icra48891.2023.10160591,IEEE International Conference on Robotics and Automation,conference-paper,2023,ZS-1
